Borough_id,Borough,Population
B1,Barking and Dagenham,"210,711"
B2,Barnet,"387,803"
B3,Bexley,"246,124"
B4,Brent,"329,102"
B5,Bromley,"329,391"
B6,Camden,"253,361"
B7,Croydon,"384,837"
B8,Ealing,"342,736"
B9,Enfield,"332,705"
B10,Greenwich,"282,849"
B11,Hackney,"275,929"
B12,Hammersmith and Fulham,"182,998"
B13,Haringey,"271,224"
B14,Harrow,"248,880"
B15,Havering,"256,039"
B16,Hillingdon,"302,343"
B17,Hounslow,"269,100"
B18,Islington,"235,000"
B19,Kensington and Chelsea,"155,741"
B20,Kingston upon Thames,"174,609"
B21,Lambeth,"324,048"
B22,Lewisham,"301,307"
B23,Merton,"206,052"
B24,Newham,"347,996"
B25,Redbridge,"301,785"
B26,Richmond upon Thames,"195,680"
B27,Southwark,"314,232"
B28,Sutton,"203,243"
B29,Tower Hamlets,"307,964"
B30,Waltham Forest,"275,505"
B31,Wandsworth,"323,257"
B32,Westminster,"244,796"